026300-99999 LJUNGBYHED(SWE-AFB)             56.083   13.233    52.0 1977-07-01 2003-01-31
026320-99999 UTKLIPPAN                       55.950   15.700     3.0 2001-07-01 2020-02-06
026350-99999 MALMO                           55.567   13.067    21.0 1935-04-13 2020-02-06
026360-99999 STURUP                          55.530   13.372    71.9 1977-06-30 2020-02-06
026400-99999 VAXJO/URASA(SAFB)               56.867   14.800   166.0 1935-01-01 2004-11-15
026410-99999 KRONOBERG                       56.929   14.728   185.9 1979-08-02 2020-02-06
026440-99999 OLANDS SODRA UDDE               56.200   16.400     3.0 1996-08-01 2020-02-06
026480-99999 VAXJO                           56.850   14.833   200.0 2001-06-01 2020-02-06
026500-99999 HANO ISLAND (LGT-H)             56.017   14.850    55.0 1977-07-01 2005-08-14
026510-99999 KRISTIANSTAD                    55.922   14.086    23.2 1979-08-02 2020-02-06
026610-99999 KOSTA (ORREFORS)                56.833   15.467   232.0 2001-09-16 2020-02-06
026640-99999 RONNEBY                         56.267   15.265    58.2 1977-07-01 2020-02-06
026660-99999 UNGSKAR                         56.033   15.800     3.0 1977-07-01 2005-04-15
026720-99999 KALMAR                          56.686   16.288     5.2 1935-01-01 2020-02-06
026800-99999 HOBURG                          56.917   18.150    39.0 1935-10-25 2012-08-31
027550-99999 YLIVIESKA AIRFIELD              64.050   24.717    76.0 2003-03-30 2020-02-06
027770-99999 SALO KIIKALA AIRFIELD           60.467   23.650   117.0 2004-05-10 2020-02-06
028010-99999 ENONTEKIO KILPISJARVI           69.050   20.783   482.7 1979-06-01 2020-02-06
028050-99999 UTSJOKI KEVO                    69.750   27.000   106.3 1973-01-01 2020-02-06
028070-99999 IVALO                           68.607   27.405   146.6 1952-01-01 2020-02-06
028075-99999 ENONTEKIO                       68.363   23.424   306.3 1998-04-19 2020-02-06
028230-99999 MUONIO ALAMUONIO                67.967   23.683   252.6 1973-01-01 2019-10-01
028360-99999 SODANKYLA                       67.395   26.619   183.5 1917-01-01 2020-02-06
028440-99999 PELLO CENTRE                    66.767   23.967    85.9 1973-01-01 2020-02-06
028450-99999 ROVANIEMI                       66.565   25.830   196.6 1973-01-01 2020-02-06
028480-99999 SALLA                           66.817   28.667   223.0 1973-01-01 1999-07-30
028490-99999 SALLA KK MYLLYTIE               66.833   28.667   221.7 2001-06-01 2020-02-06
028620-99999 KEMI AJOS                       65.667   24.517     3.1 2004-08-31 2020-02-06
028630-99999 KEMI I LIGHTHOUSE               65.383   24.100    19.0 2004-02-13 2020-02-06
028640-99999 KEMI TORNIO                     65.782   24.599    18.6 1952-01-01 2020-02-06
028670-99999 PUDASJARVI                      65.367   27.017   117.0 1973-01-01 1999-09-01
